exp_id,started_at,git_commit,roc_auc,pr_auc,f2,f1,precision,recall,accuracy,best_threshold,tp,fn,fp,tn,elapsed_sec,base_exp,changed,notes
EXP-001_baseline,2026-05-22T00:53:44+00:00,b4f7af0,0.6827,0.0126,0.0457,0.0321,0.0214,0.0638,0.9851,0.73,3,44,137,11949,152.9,,"DEFECT-014/015 fix: TF 결정성 환경변수(PYTHONHASHSEED, TF_DETERMINISTIC_OPS, TF_CUDNN_DETERMINISTIC) 를 nbconvert subprocess 환경에 주입; D-008 fix: SMOTE 제거; 한글 폰트 처리(font_helper.py) 적용; 기타 audit findings 적용 (Critical-1, A-M1, B-M3, B-M5)",F-01_M-01 baseline. Recall 0.064 (양성 47개 중 3개만 잡음). 다음 실험들의 비교 기준점.
EXP-002_focal_loss,2026-05-22T18:44:14.882040+00:00,b4f7af0,0.6297474482520659,0.006164759484424255,0.0,0.0,0.0,0.0,0.9956317481249485,0.550000011920929,0,47,6,12080,135.5302050113678,EXP-001_baseline,"loss: weighted_bce -> focal(alpha=0.75, gamma=2)",Focal loss 로 어려운 양성 sample 에 집중
EXP-006_enhanced_tabular,2026-05-22T18:45:58.859680+00:00,b4f7af0,0.6827382482281239,0.012573818455407813,0.04573170731707317,0.03208556149732621,0.02142857142857143,0.06382978723404255,0.9850820077474656,0.7300000190734863,3,44,137,11949,139.9610240459442,EXP-001_baseline,features: tabular 에 last14 mean/std/trend 30개 추가 (7 -> 37 col),시계열 prefix 별 14일 통계량 요약을 tabular branch 로 합류
EXP-003_conv1d_bilstm,2026-05-22T18:49:49.486936+00:00,b4f7af0,0.6906513954954036,0.03919095582579993,0.16728624535315986,0.140625,0.1111111111111111,0.19148936170212766,0.9909338168631007,0.7900000214576721,9,38,72,12014,427.26028418540955,EXP-001_baseline,archi: BiLSTM only -> Conv1D(5)+Conv1D(3)+BN -> BiLSTM,Conv1D 로 local pattern 캡쳐 후 BiLSTM 입력
EXP-008_dropout_low,2026-05-22T18:54:34.198615+00:00,b4f7af0,0.718022611004116,0.040438287768869284,0.1497005988023952,0.10362694300518134,0.0684931506849315,0.2127659574468085,0.9857413665210583,0.7699999809265137,10,37,136,11950,576.7973875999451,EXP-001_baseline,hyper: dropout 0.3 -> 0.1,"양성 train 222 underfit 의심, dropout 완화로 학습 강도 확보"
EXP-007_transformer_encoder,2026-05-22T19:13:33.884233+00:00,b4f7af0,0.682079846208555,0.01109613638202376,0.031746031746031744,0.022988505747126436,0.015748031496062992,0.0425531914893617,0.9859886260611556,0.7599999904632568,2,45,125,11961,249.150630235672,EXP-001_baseline,"archi: BiLSTM+Attention -> Transformer encoder (d_model=64, 4-head, 2-block)",Self-attention 으로 시계열 long-range dependency 캡쳐 (재시도)
EXP-005_multi_seed_ensemble,2026-05-22T20:41:28.656851+00:00,b4f7af0,,,,,,,,,,,,,,EXP-001_baseline,ensemble: 5 seed model average (re-tune threshold on ensembled val),"5개 seed로 학습 후 prob 평균, threshold val에서 재최적화"
EXP-004_ts_augmentation,2026-05-23T06:23:40.292181+00:00,b4f7af0,0.697980078937825,0.01794577218021339,0.125,0.07079646017699115,0.0410958904109589,0.2553191489361702,0.9740377482897882,0.949999988079071,12,35,280,11806,495.38122940063477,EXP-001_baseline,"ts_aug_v2_fix8: pos_weight_raw,no_wrap_edge_pad,xtab_num_jitter,scale_first,n_copies2,sigma02,scale095to105",v1_archived_as_archive_EXP-004_v1_buggy. v2 audit fixes from multi-agent review (code-reviewer+tracer+critic). v1 PR_AUC_4.8x was cell-level_prior_inflation byproduct.
EXP-009_hybrid_conv1d_dropout_tsaug,2026-05-23T07:34:36.402510+00:00,b4f7af0,0.6908080740508624,0.18481209725606762,0.25229357798165136,0.2857142857142857,0.36666666666666664,0.23404255319148937,0.9954669084315503,0.9900000095367432,11,36,19,12067,411.31340503692627,EXP-001_baseline,"archi: Conv1D(k=5)+Conv1D(k=3)+BN x2 -> BiLSTM; hyper: dropout 0.3 -> 0.1; data: ts_aug v2 fix8 (raw pos_weight, no_wrap edge_pad, xtab num jitter, scale_first, n_copies=2, sigma=0.02, scale 0.95~1.05)",EXP-003 + EXP-008 + EXP-004 v2 hybrid. Top-3 audit PASS technique union.
EXP-010_cv5_hybrid,2026-05-24T10:09:59.679095+00:00,b4f7af0,,,,,,,,,,,,,1987.2543895244598,,,
EXP-011_cv5_same_padding,2026-05-26T10:24:56.905856+00:00,b4f7af0,,,,,,,,,,,,,1987.5770654678345,EXP-010_cv5_hybrid,Conv1D padding: causal -> same,EXP-010_cv5_hybrid 복제. Conv1D 2층 padding만 causal->same 정정 + 주석 동기화. 닫힌 50일 창 many-to-one 분류에서 BiLSTM과 모순되는 dead causal 제약 제거. 모델/데이터/CV 프로토콜 동일.
